ID,TICKER,AMOUNT,PRICE,FEE,FX,DATE,PORTFOLIO_ID
1,FP,1525.0,1.964,21.27,1.0,2022-01-09,1
2,FP,1100.0,1.99,14.0,1.0,2022-01-09,1
3,FP,5900.0,1.87,0.0,1.0,2022-01-09,1
4,FP,168.0,1.98,0.0,1.0,2022-01-09,1
5,FP,952.0,2.11,0.0,1.0,2022-01-09,1
6,FP,53.0,2.075,0.0,1.0,2022-01-09,1
7,FP,827.0,2.075,0.0,1.0,2022-01-09,1
8,FP,1000.0,1.988,0.0,1.0,2022-01-09,1
9,FP,1600.0,2.06,0.0,1.0,2022-01-09,1
12,FP,1700.0,1.758,21.22,1.0,2022-10-10,1
14,AAPL,7.83,141.08,0.0,4.15,2022-01-09,1
18,SPGI,1.28,384.8,0.0,4.07,2022-01-09,1
22,ETH-USD,0.32,3643.0,0.0,4.41,2022-01-09,1
24,SPY5.L,3.0,412.09,4.0,4.813,2022-01-09,1
25,SPY5.L,1.0,412.17,4.0,4.813,2022-01-09,1
26,SPY5.L,3.0,393.52,6.99,4.87,2022-01-09,1
27,SPY5.L,2.0,382.57,0.0,4.92,2022-01-09,1
28,SPY5.L,4.0,467.74,0.0,4.3,2022-01-09,1
29,SPY5.L,2.0,450.0,0.0,4.39,2022-01-09,1
30,SPY5.L,2.0,455.03,0.0,4.476,2022-01-09,1
31,SPY5.L,2.0,379.94,0.0,4.7337,2022-01-09,1
32,SPY5.L,2.0,438.18,0.0,4.46,2022-01-09,1
36,SPY5.L,3.0,362.4,6.79,1.0,2022-10-10,1
38,META,0.099,224.55,0.0,4.476,2022-01-09,1
39,META,1.113,194.62,0.0,4.605,2022-01-09,1
41,SNN.BVB,63.0,47.15,19.0,1.0,2022-01-09,1
42,SNN.BVB,21.0,47.99,0.0,1.0,2022-01-09,1
43,SNN.BVB,27.0,46.4,0.0,1.0,2022-01-09,1
44,SNN.BVB,24.0,41.6,0.0,1.0,2022-01-09,1
45,SNN.BVB,22.0,45.06,0.0,1.0,2022-01-09,1
46,SNN.BVB,23.0,44.0,0.0,1.0,2022-01-09,1
47,SNN.BVB,23.0,45.55,0.0,1.0,2022-01-09,1
48,SNN.BVB,44.0,44.45,0.0,1.0,2022-01-09,1
51,TVBETETF,165.0,17.808,8.53,1.0,2022-01-09,1
52,TVBETETF,130.0,18.29,6.0,1.0,2022-01-09,1
53,TVBETETF,1042.0,16.57,0.0,1.0,2022-01-09,1
54,TVBETETF,110.0,18.03,0.0,1.0,2022-01-09,1
55,TVBETETF,112.0,17.87,0.0,1.0,2022-01-09,1
56,TVBETETF,110.0,17.96,0.0,1.0,2022-01-09,1
57,TVBETETF,110.0,18.128,0.0,1.0,2022-01-09,1
58,TVBETETF,185.0,16.364,8.78,1.0,2022-10-10,1
60,VUSD.L,4.889,78.89,0.0,4.716,2022-01-09,1
61,VUSD.L,5.858,78.878,0.0,4.716,2022-01-09,1
65,BRK-B,2.21,279.13,0.92,4.892,2022-01-09,1
66,BRK-B,2.195,268.09,1.0,5.102,2022-10-10,1
69,TSLA,0.19,714.84,0.0,4.202,2022-01-09,1
