Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2021-06-07T11:44:03.888583Z,,CASH TOP-UP,,,$494,USD,0.25
2021-06-07T13:31:51.553218Z,SPGI,BUY - MARKET,1.28378378,$384.80,$494,USD,0.25
2021-06-08T09:42:48.485273Z,,CASH TOP-UP,,,$742,USD,0.25
2021-06-08T13:30:47.176347Z,AMZN,BUY - MARKET,0.07878656,"$3,223.90",$255.23,USD,0.25
2021-06-08T13:31:08.801377Z,AAPL,BUY - MARKET,3.83096366,$126.60,$486.23,USD,0.25
2021-06-22T15:25:08.284515Z,,CASH WITHDRAWAL,,,-$0.54,USD,0.25
2021-07-01T11:12:56.384440Z,,CUSTODY FEE,,,-$0.13,USD,0.25
2021-07-02T08:45:03.530Z,,CASH TOP-UP,,,$0.13,USD,0.25
2021-08-01T12:14:22.436823Z,,CUSTODY FEE,,,-$0.14,USD,0.25
2021-08-05T09:17:05.940Z,,CASH TOP-UP,,,$0.14,USD,0.25
2021-08-10T12:28:00.839499Z,,CASH TOP-UP,,,$143,USD,0.24
2021-08-11T13:30:38.159389Z,TSLA,BUY - MARKET,0.19,$714.84,$135.82,USD,0.24
2021-08-13T04:52:06.631989Z,AAPL,DIVIDEND,,,$0.76,USD,0.24
2021-09-01T10:05:42.479968Z,,CUSTODY FEE,,,-$0.16,USD,0.24
2021-09-10T14:07:17.805787Z,,CASH TOP-UP,,,$650,USD,0.24
2021-09-10T14:32:06.987976Z,AAPL,BUY - MARKET,4,$154.60,$618.40,USD,0.24
2021-09-13T04:50:05.176885Z,SPGI,DIVIDEND,,,$0.89,USD,0.24
2021-09-26T15:53:03.222068Z,,CASH WITHDRAWAL,,,-$40.27,USD,0.24
2021-10-02T13:25:16.156924Z,,CUSTODY FEE,,,-$0.21,USD,0.24
2021-10-02T16:27:15.429911Z,,CASH TOP-UP,,,$0.21,USD,0.24
2021-11-02T09:35:52.266400Z,,CUSTODY FEE,,,-$0.22,USD,0.24
2021-11-05T12:58:42.858559Z,,CASH TOP-UP,,,$0.22,USD,0.24
2021-11-17T06:09:32.858712Z,AAPL,DIVIDEND,,,$1.55,USD,0.23
2021-11-17T06:21:03.969242Z,,CASH TOP-UP,,,$1,USD,0.23
2021-12-02T06:35:07.138003Z,,CUSTODY FEE,,,-$0.24,USD,0.23
2021-12-13T05:46:42.462701Z,SPGI,DIVIDEND,,,$0.89,USD,0.23
2022-01-04T11:34:04.841176Z,,CUSTODY FEE,,,-$0.25,USD,0.23
2022-02-02T14:08:38.922217Z,,CUSTODY FEE,,,-$0.23,USD,0.23
2022-02-15T06:03:53.299020Z,AAPL,DIVIDEND,,,$1.55,USD,0.23
2022-03-02T07:41:05.873717Z,,CUSTODY FEE,,,-$0.22,USD,0.23
2022-03-11T05:56:56.339084Z,SPGI,DIVIDEND,,,$0.89,USD,0.23
2022-03-24T13:30:06.465941Z,AAPL,BUY - MARKET,0.02335493,$171.27,$4,USD,0.23
2022-04-02T04:48:47.649466Z,,CUSTODY FEE,,,-$0.24,USD,0.23
2022-05-03T04:34:35.372936Z,,CUSTODY FEE,,,-$0.21,USD,0.22
2022-05-16T04:28:21.031753Z,AAPL,DIVIDEND,,,$1.63,USD,0.22
2022-06-02T05:30:59.206402Z,,CUSTODY FEE,,,-$0.20,USD,0.22
2022-06-06T05:20:04.595542Z,AMZN,STOCK SPLIT,1.49694464,,$0,USD,0.22
2022-06-13T04:59:26.947376Z,SPGI,DIVIDEND,,,$0.98,USD,0.22
2022-07-02T10:33:11.434282Z,,CUSTODY FEE,,,-$0.18,USD,0.22
2022-08-02T14:33:08.261615Z,,CUSTODY FEE,,,-$0.21,USD,0.21
2022-08-16T07:03:32.342130Z,AAPL,DIVIDEND,,,$1.63,USD,0.21
2022-08-25T08:27:42.967834Z,TSLA,STOCK SPLIT,0.38,,$0,USD,0.21
2022-09-03T03:06:02.226839Z,,CUSTODY FEE,,,-$0.20,USD,0.21
2022-09-13T05:49:16.952680Z,SPGI,DIVIDEND,,,$0.98,USD,0.21
2022-10-04T04:43:05.649114Z,,CUSTODY FEE,,,-$0.18,USD,0.20
2022-11-02T10:09:41.305414Z,,CUSTODY FEE,,,-$0.19,USD,0.21
2022-11-11T10:54:32.277991Z,AAPL,DIVIDEND,,,$1.63,USD,0.22
